frame,definition,example
f:Confronting_problem,An <em>Agent</em> becomes involved in an <em>Issue</em> which has negative consequences for them. The <em>Agent</em> will normally respond to resolve the <em>Issue</em>.,<p class='list-group-item'>I  <span id='phrase_example'>confronted</span>  both issues .</p>
f:Trap,A <em>Deceiver</em> sets up a <em>Trap</em> in order to cause a <em>Victim</em> to have an incorrect understanding about a situation. The <em>Deceiver</em> anticipates that this will lead the <em>Victim</em> to take a course of action (including doing nothing) which causes the <em>Victim</em> harm.,<p class='list-group-item'>Setting a  <span id='phrase_example'>trap</span>   for your opponents  is usually a good strategy. </p>
f:Mass_motion,"A <em>Mass theme</em>, generally made up of many individuals, moves from a <em>Source</em> to a <em>Goal</em> with some <em>Path</em>.",<p class='list-group-item'>Emails from so-called Nigerian princes  <span id='phrase_example'>flooded</span>  inboxes   all over the US .</p>
f:Retaining,In this frame an <em>Agent</em> continues to possess a <em>Theme</em> for a <em>Duration</em> of time.,<p class='list-group-item'>In her heart   she  must <span id='phrase_example'>retain</span>  bitterness against those who had killed him . </p><p class='list-group-item'> I  <span id='phrase_example'>kept</span>  the iPhone Sally gave me .</p>
f:Memory,This frame is concerned with <em>Cognizer</em>s remembering and forgetting mental <em>Content</em>.,<p class='list-group-item'>John  <span id='phrase_example'>forgot</span>  everything   about his uncle .</p>
f:Come_into_effect,"A <em>Binding principle</em>, previously only existing as a concept or formulation, enters an active phase or state. Often, the enactments of rules and regulations are described with this frame.",<p class='list-group-item'>The  new curfew laws  <span id='phrase_example'>kicked in</span>  last weekend.</p>
f:People_by_jurisdiction,"This frame contains words for individuals, i.e. humans, who are governed by virtue of being registered in a certain <em>Jurisdiction</em>. Alternatively, they may be conceptualized with respect to their  governance by a political or religious <em>Authority</em>  They may have an <em>Age</em>, <em>Descriptor</em>, <em>Persistent characteristic</em>, or <em>Ethnicity</em>.",<p class='list-group-item'>A  Somali  <span id='phrase_example'>national</span> entered our office.</p>
f:Duration_description,"An event or state (here termed an <em>Eventuality</em>) or time-<em>Period</em> is described in terms of the <em>Degree</em> to which its duration diverges from a standard.  As is usual for gradable attributes, the standard of comparison is normally based on the expected duration for the type of <em>Eventuality</em> or <em>Period</em>.  (In conjunction with the comparative construction, the standard may also be based upon an explicit value.)","<p class='list-group-item'>After a <span id='phrase_example'>lengthy</span>  discussion with the Foreign Minister, Mr. Qian Qichen , they met the Prime Minister. </p><p class='list-group-item'>The <span id='phrase_example'>lengthy</span>  period which most party leaders have already spent in Parliament before gaining office  certainly gives them time to acquire suitable skills.</p>"
f:Firing,An <em>Employer</em> ends an employment relationship with an <em>Employee</em>.  There is often a <em>Reason</em> given for the action.,<p class='list-group-item'>He  <span id='phrase_example'>fired</span>  me   as annotator   for being too slow .</p>
f:Activity_stop,An <em>Agent</em> ceases an <em>Activity</em> without completing it.,"<p class='list-group-item'>After the lawsuit ,  the company  <span id='phrase_example'>stopped</span>  producing the once very profitable toy . </p><p class='list-group-item'> The rugby club  <span id='phrase_example'>terminated</span>  negotiations with Argyll   in September 1988 .</p>"
f:Cause_to_land,"An <em>Operator</em> maneuvers onto land a <em>Vehicle</em> which typically does not operate on land, e.g., an airplane or boat.",<p class='list-group-item'>The terrified pilot  <span id='phrase_example'>landed</span>  the passenger-filled airplane   into the river .</p>
f:Vehicle_landing,"A flying <em>Vehicle</em> comes to the ground at a <em>Goal</em> in a controlled fashion, typically (but not necessarily) operated by an operator.","<p class='list-group-item'>A police helicopter  <span id='phrase_example'>landed</span>  just outside my neighborhood   at around midnight last night . </p><p class='list-group-item'> The UFO  <span id='phrase_example'>touched down</span>  here , you say?</p>"
f:Political_locales,"This frame covers words that name Locations as defined politically, or administratively.",<p class='list-group-item'>Berkeley  is a  wonderful   <span id='phrase_example'>city</span> .</p>
f:Judgment_direct_address,"In this frame, a <em>Communicator</em> judges the <em>Addressee</em> and then communicates that appraisal directly to the <em>Addressee</em>. The judgment is given for a particular <em>Reason</em> or about a particular <em>Topic</em>.",<p class='list-group-item'>The principal  <span id='phrase_example'>rebuked</span>  the student   for cheating on the exam .</p>
f:Dispersal,"An <em>Agent</em> or a <em>Cause</em> disperses or scatters <em>Individuals</em> from the <em>Source</em>,a relatively confined space, to a the <em>Goal area</em>, a broader space.",<p class='list-group-item'>She  <span id='phrase_example'>scattered</span>  his ashes   in the bay .</p>
f:Cause_change_of_strength,"An <em>Agent</em> causes a <em>Patient</em> to be more strong, often resulting in something that is more secure and safe.",<p class='list-group-item'>Local Serbs  are <span id='phrase_example'>strengthening</span>  their grip on a narrow corridor along the Sava River between two large Serbian areas .</p>
f:Artistic_style,This frame contains LUs that express the <em>Form</em> which a piece of <em>Artwork</em> represents. The <em>Form</em> may also represent the entire body  of an <em>Artist</em>'s work. The <em>Form</em> may be further characterized by the <em>Time</em> of some <em>Artwork</em>'s creation or other <em>Descriptor</em>s.,<p class='list-group-item'>Her   <span id='phrase_example'>style</span>   of painting  is an excellent blend of traditional and modern. </p><p class='list-group-item'>The  whimsical   <span id='phrase_example'>style</span>   of this piece  is very effective.</p>
f:Sounds,"This frame is  concerned with the percepts that vibrations which travel through the air or another medium produce in hearing organs. Sounds are a subtype of sensation. In talking about sounds, speakers often provide information about how the sound was produced. A <em>Noisy event</em> may be mentioned which gives rise to the sound. Alternatively, the sound may be attributed to a <em>Sound source</em>, which is construed as a point source emitting the sound. A further possible specification of what gives rise to the sound is for speakers to talk about two physical entities coming into contact by motion, resulting in either friction or impact. ",<p class='list-group-item'>I awoke to the <span id='phrase_example'>clash</span>  of a jackhammer on concrete .</p>
f:Deny_or_grant_permission,"In this frame, an <em>Authority</em> allows a <em>Protagonist</em> to know (in some way) that they may or may not engage in an <em>Action</em>. For lexical units of this frame marked with the semantic type Negative, e.g., authorize.v, the <em>Authority</em> has the power to tell the <em>Protagonist</em> not to do something, but does not do so. It is assumed that if the <em>Protagonist</em> engages in the <em>Action</em> without permission, then the <em>Authority</em> will punish the <em>Protagonist</em> in some way, at least with disapproval; if the <em>Authority</em> grants permission, however, the <em>Authority</em> is agreeing not to impose a punishment on the <em>Protagonist</em> for performing the <em>Action</em>.",<p class='list-group-item'>The police officer  <span id='phrase_example'>forbid</span>  me   from turning around  . </p><p class='list-group-item'>  My mother  <span id='phrase_example'>okayed</span>  me   to go to the movies with Simon  .   </p><p class='list-group-item'>  The teacher  <m>gave</m>  the children  <span id='phrase_example'>permission</span>  to eat their lunch outside .  </p><p class='list-group-item'> The Church  had <span id='phrase_example'>sanctioned</span>  for recital after Mass   a special prayer to St. Michael .</p>
f:Mathematical_relationship,"A mathematical expression <em>Expression 1</em> has a relationship with another mathematical expression <em>Expression 2</em>.  This relationship may be of equality, inequality, or near-equality.  The <em>Type</em> of the equation may be specified.  Senses of LUs in this frame that are not overtly mathematical should be placed in Contigency.",<p class='list-group-item'>The <span id='phrase_example'>FORMULA</span> of  a line  can be given in slope-intercept form </p><p class='list-group-item'>The equation for a line is  y  <span id='phrase_example'>EQUALS</span>  mx + b</p>
